report_file,spreadsheet_id,report_title,spreadsheet_name,match_score,excel_file
Report0048.py,1E2PjV5T7w1RGeZKEr3ad3L-CMKvtkzwdx53GuH5IxM0,"BitumineuzeLaag heeft steeds een LigtOp relatie naar een Onderbouw. Wanneer niet aan deze voorwaarde voldaan is, geeft dit rapport een aantal suggesties voor Onderbouwen adhv de geometrie.",[RSA] BitumineuzeLaag LigtOp Onderbouw Suggesties,0.39,[RSA] KabelnetToegang heeft steeds een relatie met een andere asset.xlsx
Report0057.py,1aLox-JNzTrwqNzexO6eygpbsUOyqeyy79T6SLUnsLHw,Er zijn geen attributen met de waarde -99999.99 (indicatie voor lege waarde).,[RSA] Assets met -99999.99,0.39,Verlichtingsonderdelen met dezelfde coördinaten.xlsx
Report0058.py,15knbCKB7xWKDX_7utnDBsNe2mYHxGwM6cl8bPwg6q5k,Er zijn geen assets die het doel zijn van twee of meer Voedt relaties.,[RSA] Assets met dubbele voeding,0.44,[RSA] L2 switches horen bij een asset die gevoed wordt.xlsx
Report0172.py,1TfxlJgBUJvRS5xY29ZVIjqHD_2-jpXJrfY1VILuPJhk,Assets zitten volledig omvat in een andere asset van hetzelfde assettype (donut),[RSA] Donut assets zijn niet als donut-polygoon ingetekend,0.47,[RSA] LS_HS met Voedingsrelatie anders dan LS-Deel_HS-Deel.xlsx
Report0059.py,15z-3mTVmjg63EepO1uaN5R5dgFARcfiyrRBbXa3TzUQ,Er zijn geen assets die zichzelf direct of indirect voeden (geen lussen in voeding).,[RSA] Assets met lussen in voeding,0.48,[RSA] Assets met lussen in voeding.xlsx
Report0010.py,1MzUeaGLeqV78IMBuTTFoM47y4nXja993AZnZF21Zu2U,Camera's zijn het doel van een Voedt relatie met een Stroomkring of PoEInjector,[RSA] Camera Voedt relaties,0.52,[RSA] VLAN objecten hebben een HoortBij relatie met een L2AccesStructuur.xlsx
Report0101.py,17gA1IKf5VSF-HslE-C90l2msSNFzCsiakpcn-IlMDtI,Vplan koppelingen,[Vplan] Vplan data EM-Infra,0.53,[RSA] Overlappende gebouwen.xlsx
Report0047.py,1BiRG3GxXF1AjpAoCWW_O7ukg2WeCEvGnhew-_YuclrQ,"Wanneer een BitumineuzeLaag geometrisch op een Onderbouw ligt, dan zijn deze",[RSA] BitumineuzeLaag LigtOp Onderbouw Geometrie,0.56,[RSA] BitumineuzeLaag LigtOp Onderbouw Geometrie.xlsx
Report0216.py,17MTZ2N_jVsUyc53zbzPwFGhDS8u1X6xrrexU-Li-OkU,Verweven assets hebben geen naampad (zijn niet in een boomstructuur op EM-infra gesitueerd),[RSA] Verweven assets hebben geen naampad,0.56,[RSA] Verweven assets hebben geen naampad.xlsx
Report0018.py,1U_27rorzzxcoBOxLoHIN8Vt20idDafrb5DGE_ECWVAw,Linken zijn het doel van exact 2 HoortBij relaties komende van Netwerkpoorten,[RSA] Linken HoortBij 2 Netwerkpoorten,0.6,[RSA] IP elementen hebben HoortBij relatie met een Netwerkelement.xlsx
Report0020.py,1dudUqdNZTf1lPcAFbv_kSTI0gIBvAkX0TUumvwR-O7M,Zpaden zijn het doel van exact 2 HoortBij relaties komende van Netwerkpoorten,[RSA] Zpaden HoortBij 2 Netwerkpoorten,0.6,[RSA] IP elementen hebben HoortBij relatie met een Netwerkelement.xlsx
Report0046.py,1eFVzTiSiPASlvTE4tva9Vw1on5Z8AJNalj4im8tRops,Een Onderbouw heeft steeds een ligtOp relatie naar een Geotextiel,[RSA] Onderbouw LigtOp Geotextiel,0.6,[RSA] KabelnetBuis heeft steeds een relatie met een andere asset.xlsx
Report0012.py,1ZHc-mdiViQlOKTUtcR_vzvk-DyFiqhwUv5Gf52Q6bm4,Camera's hebben een Bevestiging relatie tenzij ze tot een tunnel behoren,[RSA] Camera_s Bevestiging relaties,0.61,[RSA] Verkeersregelaars hebben een Bevestiging relatie naar een Wegkantkast.xlsx
Report0019.py,1EsUciU3KV5EoDwv3NbAz-1SIPGXsRUrLQOTMZSstkZI,Paden zijn het doel van exact 2 HoortBij relaties komende van Netwerkpoorten,[RSA] Paden HoortBij 2 Netwerkpoorten,0.61,[RSA] IP elementen hebben HoortBij relatie met een Netwerkelement.xlsx
Report0084.py,1pGZUOMXLeWRo0Ykzshxt9PJN2tCbznsBxQf0mgh7Zos,Verkeersregelaars hebben een vplannummer en vplandatum dat overeenkomt met het legacy vplan,[RSA] Verkeersregelaars hebben een correct vplan,0.61,[RSA] Verkeersregelaars hebben een vplanNummer volgens bepaalde syntax.xlsx
Report0000.py,1SK0UVeKnJe0eQaktKMFjeJSg16wZ4SAW-W8wz16x3Tg,testsheet (dev only),[RSA] Testsheet,0.62,[RSA] Testsheet.xlsx
Report0014.py,1iVs6wP1WcdHxEUsx5N_NlunvGU4LycRUO1_4j03Nwzo,Stroomkringen en Laagspanningsborden hebben een HoortBij relatie met een LSDeel object,[RSA] Stroomkring LSBord HoortBij relaties,0.62,[RSA] IP Netwerkelementen hebben een hoortbij relatie met een legacy element IP.xlsx
